device_id,timestamp,heartbeat
watch1,1764621656416,75.0
watch1,1764621656458,73.0
watch1,1764621656486,73.0
watch1,1764621656522,73.0
watch1,1764621656584,73.0
watch1,1764621658035,71.0
watch1,1764621660273,70.0
watch1,1764621660270,70.0
watch1,05:53:23,73.0
watch1,05:53:25,72.0
watch1,05:54:08,70.0
watch1,05:54:08,70.0
watch2,1764622157705,65.0
watch2,1764622168212,66.0
watch2,1764622169603,67.0
watch2,1764622173096,68.0
watch2,1764622177059,69.0
watch2,1764622179409,70.0
watch2,1764622180651,69.0
watch2,05:53:29,73.0
watch2,05:53:35,74.0
watch2,05:53:41,73.0
watch2,05:53:42,72.0
watch2,05:53:44,71.0
watch2,05:53:48,70.0
watch2,05:53:53,69.0
watch2,05:53:57,68.0
watch2,05:53:58,69.0
