timestamp,device_id,heartbeat,baseline,diff,abs_diff,game_phase,current_turn,control_mode,random_extreme,target_watch,is_target,rpm,direction,source_timestamp,collapse,attackers,attack_count,attack_mode,challenge_direction,score,score_change,score_reason,series_id,game_number
1786939388862,watch1,82,82,0,0,playing,watch1,attack_challenge,,watch1,True,25,c,1786935810101,,,0,,,0,,,20260817_130305,1
1786939388862,watch2,92,,,,playing,watch1,attack_challenge,,watch1,False,25,c,1786096721469,,,0,,,0,,,20260817_130305,1
1786939390007,watch1,82,82,0,0,playing,watch1,attack_challenge,,watch1,True,10,c,1786935810101,,,0,attack_challenge,down,0,,,20260817_130305,1
1786939390007,watch2,92,,,,playing,watch1,attack_challenge,,watch1,False,10,c,1786096721469,,,0,attack_challenge,down,0,,,20260817_130305,1
1786939391145,watch1,82,82,0,0,playing,watch1,attack_challenge,,watch1,True,10,c,1786935810101,,,0,attack_challenge,down,0,,,20260817_130305,1
1786939391145,watch2,92,,,,playing,watch1,attack_challenge,,watch1,False,10,c,1786096721469,,,0,attack_challenge,down,0,,,20260817_130305,1
1786939392311,watch1,82,82,0,0,playing,watch1,attack_challenge,,watch1,True,10,c,1786935810101,,,0,attack_challenge,down,0,,,20260817_130305,1
1786939392311,watch2,92,,,,playing,watch1,attack_challenge,,watch1,False,10,c,1786096721469,,,0,attack_challenge,down,0,,,20260817_130305,1
1786939393431,watch1,82,82,0,0,playing,watch1,attack_challenge,,watch1,True,10,c,1786935810101,,,0,attack_challenge,down,0,,,20260817_130305,1
1786939393431,watch2,92,,,,playing,watch1,attack_challenge,,watch1,False,10,c,1786096721469,,,0,attack_challenge,down,0,,,20260817_130305,1
1786939394600,watch1,82,82,0,0,playing,watch1,attack_challenge,,watch1,True,10,c,1786935810101,,,0,attack_challenge,down,0,,,20260817_130305,1
1786939394600,watch2,92,,,,playing,watch1,attack_challenge,,watch1,False,10,c,1786096721469,,,0,attack_challenge,down,0,,,20260817_130305,1
1786939395733,watch1,82,82,0,0,playing,watch1,attack_challenge,,watch1,True,10,a,1786935810101,,,0,attack_challenge,down,0,,,20260817_130305,1
1786939395733,watch2,92,,,,playing,watch1,attack_challenge,,watch1,False,10,a,1786096721469,,,0,attack_challenge,down,0,,,20260817_130305,1
1786939396868,watch1,82,82,0,0,playing,watch1,attack_challenge,,watch1,True,10,a,1786935810101,,,0,attack_challenge,down,0,,,20260817_130305,1
1786939396868,watch2,92,,,,playing,watch1,attack_challenge,,watch1,False,10,a,1786096721469,,,0,attack_challenge,down,0,,,20260817_130305,1
1786939398014,watch1,82,82,0,0,playing,watch1,attack_challenge,,watch1,True,10,a,1786935810101,,,0,attack_challenge,down,0,,,20260817_130305,1
1786939398014,watch2,92,,,,playing,watch1,attack_challenge,,watch1,False,10,a,1786096721469,,,0,attack_challenge,down,0,,,20260817_130305,1
