device_id,timestamp,heartbeat
watch1,1775038532144,91.0
watch1,1775038536136,90.0
watch1,1775038538130,88.0
watch1,1775038542633,89.0
watch1,1775038543069,90.0
watch1,1775038545603,89.0
watch1,1775038547607,88.0
watch1,1775038557575,89.0
watch1,1775038561570,90.0
watch1,1775038564572,88.0
watch1,1775038570552,90.0
watch1,1775038572543,91.0
watch1,1775038576524,87.0
watch1,1775038578518,85.0
watch1,1775038582523,84.0
watch1,1775038584523,83.0
watch1,1775038595480,84.0
watch1,1775038597470,85.0
watch1,1775038599401,87.0
watch1,1775038601463,88.0
watch1,1775038612943,89.0
watch1,1775038618924,90.0
watch1,1775038621166,91.0
watch1,1775038623005,92.0
watch1,1775038628899,94.0
watch1,1775038629458,97.0
watch1,1775038633896,95.0
watch1,1775038635884,94.0
watch1,1775038639865,93.0
watch1,1775038643859,92.0
watch1,1775122540500,93.0
watch1,1775122542498,84.0
watch1,1775122544505,87.0
watch1,1775122546502,85.0
watch1,1775122548484,83.0
watch1,1775122550476,82.0
watch1,1775122552484,81.0
watch1,1775122553187,82.0
watch1,1775122602859,84.0
watch1,1775122604829,78.0
watch1,1775122606863,81.0
watch1,1775122608840,79.0
watch1,1775122610845,81.0
watch1,1775122612823,78.0
watch1,1775122613395,79.0
watch1,1775122617813,83.0
watch1,1775122619796,78.0
watch1,1775122621820,77.0
watch1,1775122623788,75.0
watch1,1775122625803,79.0
watch1,1775122627429,79.0
watch1,1775122627771,76.0
watch1,1775122629504,76.0
watch1,1775122629771,75.0
watch1,1775122631526,75.0
watch1,1775122631765,73.0
watch1,1775122632589,71.0
watch1,1775122634557,71.0
watch1,1775122634722,70.0
watch1,1775122636584,70.0
watch1,1775122636766,68.0
watch1,1775122638742,67.0
watch1,1775122640706,68.0
watch1,1775122642727,66.0
watch1,1775122645252,68.0
watch1,1775122647215,69.0
watch1,1775122651212,70.0
watch1,1775122653240,71.0
watch1,1775122655613,71.0
watch1,1775122656621,71.0
watch1,1775122657643,71.0
watch1,1775122658660,71.0
watch1,1775122659669,71.0
watch1,1775122660697,71.0
watch1,1775122661722,71.0
watch1,1775122662753,71.0
watch1,1775122663778,71.0
watch1,1775122664810,71.0
watch1,1775122665841,71.0
watch1,1775122666189,70.0
watch1,1775122668175,69.0
watch1,1775122673168,68.0
watch1,1775122675176,69.0
watch1,1775122676883,69.0
watch1,1775122677925,69.0
watch1,1775122678952,69.0
watch1,1775122679145,70.0
watch1,1775122680973,70.0
watch1,1775122682000,70.0
watch1,1775122683043,70.0
watch1,1775122684074,70.0
watch1,1775122685101,70.0
watch1,1775122685141,72.0
watch1,1775122687138,72.0
watch1,1775122688152,72.0
watch1,1775122689138,76.0
watch1,1775122690016,78.0
watch1,1775122691184,78.0
watch1,1775122692202,78.0
watch1,1775122693228,78.0
watch1,1775122693622,77.0
watch1,1775122694063,81.0
watch1,1775122695256,81.0
watch1,1775122696270,81.0
watch1,1775122696606,84.0
watch1,1775122698298,84.0
watch1,1775122698614,87.0
watch1,1775122700325,87.0
watch1,1775122700595,88.0
watch1,1775122702341,88.0
watch1,1775122702600,83.0
watch1,1775122704362,83.0
watch1,1775122704586,79.0
watch1,1775122706405,79.0
watch1,1775122707432,79.0
watch1,1775122708457,79.0
watch1,1775122708581,78.0
watch1,1775122710513,78.0
watch1,1775122710584,79.0
watch1,1775122711256,77.0
watch1,1775122712573,77.0
watch1,1775122713586,79.0
watch1,1775122713607,77.0
watch1,1775122714653,79.0
watch1,1775122715570,77.0
watch1,1775122716667,77.0
watch1,1775122717547,76.0
watch1,1775122718731,76.0
watch1,1775122719758,76.0
watch1,1775122720789,76.0
watch1,1775122721542,77.0
watch1,1775122722809,77.0
watch1,1775122723549,76.0
watch1,1775122724824,76.0
watch1,1775122725539,77.0
watch1,1775122726872,77.0
watch1,1775122727549,79.0
watch1,1775122728894,79.0
watch1,1775122729535,83.0
watch1,1775122730930,83.0
watch1,1775122731941,83.0
watch1,1775122732518,84.0
watch1,1775122733956,84.0
watch1,1775122735002,84.0
watch1,1775122736036,84.0
watch1,1775122737012,85.0
watch1,1775122738063,85.0
watch1,1775122739084,85.0
watch1,1775122740107,85.0
watch1,1775122741002,84.0
watch1,1775122742138,84.0
watch1,1775122742999,81.0
watch1,1775122744173,81.0
watch1,1775122745200,81.0
watch1,1775122746211,81.0
watch1,1775122746977,80.0
watch1,1775122748226,80.0
watch1,1775122748984,79.0
watch1,1775122750261,79.0
watch1,1775122751294,79.0
watch1,1775122751968,78.0
watch1,1775122753327,78.0
watch1,1775122753964,77.0
watch1,1775122755351,77.0
watch1,1775122756381,77.0
watch1,1775122757400,77.0
watch1,1775122758423,77.0
watch1,1775122759442,77.0
