device_id,timestamp,heartbeat
watch2,1764929972442,73.0
watch2,1764929973447,72.0
watch2,1764929975884,71.0
watch2,1764929976888,70.0
watch2,1764929982193,69.0
watch2,1764929993895,70.0
watch2,1764929995908,71.0
watch2,1764930012131,70.0
watch2,1764930024148,71.0
watch2,1764930028756,72.0
watch2,1764930039197,73.0
watch2,1764930040625,74.0
watch2,1764930042025,75.0
watch2,1764930047423,74.0
watch2,1764930051312,73.0
watch2,1764930054615,72.0
watch2,1764930059116,71.0
watch2,1764930060947,72.0
watch2,1764930066524,71.0
watch2,1764930071530,72.0
watch2,1764930074315,73.0
watch2,1764930076337,74.0
watch2,1764930080131,75.0
watch2,1764930082919,76.0
watch2,1764930091518,75.0
watch2,1764930094910,74.0
watch2,1764930100393,73.0
watch2,1764930102250,71.0
watch2,1764930114882,73.0
watch2,1764930116891,74.0
watch2,1764930118318,75.0
watch2,1764930119313,76.0
watch2,1764930126775,75.0
watch2,1764930131964,74.0
watch2,1764930139293,73.0
watch2,1764930146422,72.0
watch2,1764930148349,73.0
watch2,1764930152824,74.0
watch2,1764930169005,75.0
watch2,1764930176364,76.0
watch2,1764930182967,77.0
watch2,1764930185794,78.0
watch2,1764930186760,77.0
watch2,1764930190435,76.0
watch2,1764930193232,75.0
watch2,1764930196117,74.0
watch2,1764930197986,73.0
watch2,1764930201665,72.0
watch2,1764930203834,71.0
watch2,1764930205711,70.0
watch2,1764930210608,69.0
watch2,1764930215671,68.0
watch2,1764930218533,71.0
watch2,1764930226867,70.0
watch2,1764930235285,69.0
watch2,1764930240344,70.0
watch2,1764930241798,71.0
watch2,1764930243190,73.0
watch2,1764930248019,74.0
watch2,1764930252151,76.0
watch2,1764930253504,77.0
watch2,1764930256934,76.0
watch2,1764930259793,75.0
watch2,1764930262155,74.0
watch1,1765175094092,70.0
watch1,1765175095112,71.0
watch1,1765175105158,72.0
watch1,1765175107190,71.0
watch1,1765175110197,70.0
watch1,1765175114227,69.0
watch1,1765175118246,68.0
watch1,1765175123429,69.0
watch1,1765175142290,71.0
watch1,1765175147286,68.0
watch1,1765175145280,69.0
watch1,1765175136315,72.0
watch1,1765175160408,68.0
watch1,1765175162415,67.0
watch1,1765175178480,68.0
watch1,1765175180565,69.0
watch1,1765175227023,75.0
watch1,1765175228963,74.0
watch1,1765175232980,73.0
watch1,1765175233990,72.0
watch1,1765175236004,71.0
watch1,1765175238028,70.0
watch1,1765175339952,79.0
watch1,1765175361904,76.0
watch1,1765175362880,75.0
