timestamp,device_id,heartbeat,baseline,diff,abs_diff,game_phase,current_turn,control_mode,random_extreme,target_watch,is_target,rpm,direction,source_timestamp,collapse
1784866031118,watch1,71,75,-4,4,playing,watch1,random_diff,下降,watch2,False,20,a,1784866031049,
1784866031118,watch2,71,82,-11,11,playing,watch1,random_diff,下降,watch2,True,20,a,1784866031049,
1784866032170,watch1,72,75,-3,3,playing,watch1,random_diff,下降,watch2,False,5,c,1784866031436,
1784866032170,watch2,72,82,-10,10,playing,watch1,random_diff,下降,watch2,True,5,c,1784866031502,
1784866033216,watch1,72,75,-3,3,playing,watch1,random_diff,下降,watch2,False,5,a,1784866033088,
1784866033216,watch2,73,82,-9,9,playing,watch1,random_diff,下降,watch2,True,5,a,1784866032554,
1784866034259,watch1,74,75,-1,1,playing,watch1,random_diff,下降,watch2,False,5,c,1784866033458,
1784866034259,watch2,75,82,-7,7,playing,watch1,random_diff,下降,watch2,True,5,c,1784866033555,
1784866035300,watch1,76,75,1,1,playing,watch1,random_diff,下降,watch2,False,5,c,1784866034452,
1784866035300,watch2,75,82,-7,7,playing,watch1,random_diff,下降,watch2,True,5,c,1784866035102,
1784866036343,watch1,76,75,1,1,playing,watch1,random_diff,下降,watch2,False,5,c,1784866036118,
1784866036343,watch2,75,82,-7,7,playing,watch1,random_diff,下降,watch2,True,5,c,1784866036118,
1784866037385,watch1,77,75,2,2,playing,watch1,random_diff,下降,watch2,False,5,c,1784866036480,
1784866037385,watch2,76,82,-6,6,playing,watch1,random_diff,下降,watch2,True,5,c,1784866036600,
1784866038468,watch1,77,75,2,2,playing,watch1,random_diff,下降,watch2,False,5,c,1784866038144,
1784866038468,watch2,76,82,-6,6,playing,watch1,random_diff,下降,watch2,True,5,c,1784866038144,
1784866039515,watch1,77,75,2,2,playing,watch2,random_diff,上昇,watch2,False,10,c,1784866039184,
1784866039515,watch2,75,82,-7,7,playing,watch2,random_diff,上昇,watch2,True,10,c,1784866038633,
1784866040558,watch1,76,75,1,1,playing,watch2,random_diff,上昇,watch2,False,5,c,1784866040500,
1784866040558,watch2,75,82,-7,7,playing,watch2,random_diff,上昇,watch2,True,5,c,1784866040194,
1784866041600,watch1,76,75,1,1,playing,watch2,random_diff,上昇,watch2,False,5,c,1784866040500,
1784866041600,watch2,76,82,-6,6,playing,watch2,random_diff,上昇,watch2,True,5,c,1784866040660,
1784866042642,watch1,76,75,1,1,playing,watch2,random_diff,上昇,watch2,False,5,c,1784866042226,
1784866042642,watch2,76,82,-6,6,playing,watch2,random_diff,上昇,watch2,True,5,c,1784866042226,
1784866043724,watch1,76,75,1,1,playing,watch2,random_diff,上昇,watch2,False,5,c,1784866043253,
1784866043724,watch2,76,82,-6,6,playing,watch2,random_diff,上昇,watch2,True,5,c,1784866043253,
1784866044825,watch1,76,75,1,1,playing,watch2,random_diff,上昇,watch2,False,5,c,1784866044280,
1784866044825,watch2,76,82,-6,6,playing,watch2,random_diff,上昇,watch2,True,5,c,1784866044280,
1784866045869,watch1,76,75,1,1,playing,watch2,random_diff,上昇,watch2,False,5,c,1784866045322,
1784866045869,watch2,76,82,-6,6,playing,watch2,random_diff,上昇,watch2,True,5,c,1784866045322,
1784866046921,watch1,75,75,0,0,playing,watch2,random_diff,上昇,watch2,False,5,c,1784866046548,
1784866046921,watch2,75,82,-7,7,playing,watch2,random_diff,上昇,watch2,True,5,c,1784866046704,
1784866047967,watch1,75,75,0,0,playing,watch2,random_diff,上昇,watch2,False,5,c,1784866046548,
1784866047967,watch2,75,82,-7,7,playing,watch2,random_diff,上昇,watch2,True,5,c,1784866046704,
1784866049018,watch1,75,75,0,0,playing,watch1,random_diff,下降,watch1,True,5,c,1784866048369,
1784866049018,watch2,74,82,-8,8,playing,watch1,random_diff,下降,watch1,False,5,c,1784866048730,
1784866050098,watch1,75,75,0,0,playing,watch1,random_diff,下降,watch1,True,5,c,1784866049400,
1784866050098,watch2,74,82,-8,8,playing,watch1,random_diff,下降,watch1,False,5,c,1784866048730,
1784866051179,watch1,75,75,0,0,playing,watch1,random_diff,下降,watch1,True,5,c,1784866050421,
1784866051179,watch2,74,82,-8,8,playing,watch1,random_diff,下降,watch1,False,5,c,1784866050421,
1784866052260,watch1,75,75,0,0,playing,watch1,random_diff,下降,watch1,True,5,c,1784866051463,
1784866052260,watch2,74,82,-8,8,playing,watch1,random_diff,下降,watch1,False,5,c,1784866051463,
1784866053305,watch1,74,75,-1,1,playing,watch1,random_diff,下降,watch1,True,5,c,1784866052579,
1784866053305,watch2,74,82,-8,8,playing,watch1,random_diff,下降,watch1,False,5,c,1784866052506,
1784866054350,watch1,74,75,-1,1,playing,watch1,random_diff,下降,watch1,True,5,c,1784866052579,
1784866054350,watch2,74,82,-8,8,playing,watch1,random_diff,下降,watch1,False,5,c,1784866053532,
1784866055395,watch1,74,75,-1,1,playing,watch1,random_diff,下降,watch1,True,5,c,1784866054550,
1784866055395,watch2,73,82,-9,9,playing,watch1,random_diff,下降,watch1,False,5,c,1784866054818,
1784866056439,watch1,74,75,-1,1,playing,watch1,random_diff,下降,watch1,True,5,c,1784866055578,
1784866056439,watch2,73,82,-9,9,playing,watch1,random_diff,下降,watch1,False,5,c,1784866054818,
1784866057517,watch1,73,75,-2,2,playing,watch1,random_diff,下降,watch1,True,5,c,1784866056600,
1784866057517,watch2,73,82,-9,9,playing,watch1,random_diff,下降,watch1,False,5,c,1784866056600,
1784866058609,watch1,74,75,-1,1,playing,watch1,random_diff,下降,watch1,True,5,c,1784866057614,
1784866058609,watch2,74,82,-8,8,playing,watch1,random_diff,下降,watch1,False,5,c,1784866057833,
1784866059724,watch1,74,75,-1,1,playing,watch1,random_diff,下降,watch1,True,5,c,1784866059675,
1784866059724,watch2,74,82,-8,8,playing,watch1,random_diff,下降,watch1,False,5,c,1784866059675,
1784866060778,watch1,74,75,-1,1,playing,watch1,random_diff,下降,watch1,True,5,c,1784866060732,
1784866060778,watch2,75,82,-7,7,playing,watch1,random_diff,下降,watch1,False,5,c,1784866059859,
1784866061825,watch1,77,75,2,2,playing,watch1,random_diff,下降,watch2,False,5,c,1784866061641,
1784866061825,watch2,75,82,-7,7,playing,watch1,random_diff,下降,watch2,True,5,c,1784866061745,
1784866062875,watch1,77,75,2,2,playing,watch1,random_diff,下降,watch1,True,5,c,1784866062757,
