timestamp,device_id,heartbeat,baseline,diff,current_turn
1788167880829,watch1,79.0,75.36363636363636,3.6363636363636402,watch1
1788167880829,watch2,76.0,74.66666666666667,1.3333333333333286,watch1
1788167880829,watch3,80.0,76.25,3.75,watch1
1788167880829,watch4,77.0,79.83333333333333,-2.8333333333333286,watch1
1788167881854,watch1,79.0,75.36363636363636,3.6363636363636402,watch1
1788167881854,watch2,76.0,74.66666666666667,1.3333333333333286,watch1
1788167881854,watch3,80.0,76.25,3.75,watch1
1788167881854,watch4,77.0,79.83333333333333,-2.8333333333333286,watch1
1788167882856,watch1,79.0,75.36363636363636,3.6363636363636402,watch1
1788167882856,watch2,76.0,74.66666666666667,1.3333333333333286,watch1
1788167882856,watch3,80.0,76.25,3.75,watch1
1788167882856,watch4,76.0,79.83333333333333,-3.8333333333333286,watch1
1788167883858,watch1,79.0,75.36363636363636,3.6363636363636402,watch1
1788167883858,watch2,76.0,74.66666666666667,1.3333333333333286,watch1
1788167883858,watch3,80.0,76.25,3.75,watch1
1788167883858,watch4,77.0,79.83333333333333,-2.8333333333333286,watch1
1788167884904,watch1,79.0,75.36363636363636,3.6363636363636402,watch1
1788167884904,watch2,76.0,74.66666666666667,1.3333333333333286,watch1
1788167884904,watch3,80.0,76.25,3.75,watch1
1788167884904,watch4,77.0,79.83333333333333,-2.8333333333333286,watch1
1788167885945,watch1,79.0,75.36363636363636,3.6363636363636402,watch1
1788167885945,watch2,76.0,74.66666666666667,1.3333333333333286,watch1
1788167885945,watch3,80.0,76.25,3.75,watch1
1788167885945,watch4,77.0,79.83333333333333,-2.8333333333333286,watch1
1788167886981,watch1,79.0,75.36363636363636,3.6363636363636402,watch1
1788167886981,watch2,76.0,74.66666666666667,1.3333333333333286,watch1
1788167886981,watch3,80.0,76.25,3.75,watch1
1788167886981,watch4,77.0,79.83333333333333,-2.8333333333333286,watch1
1788167887997,watch1,79.0,75.36363636363636,3.6363636363636402,watch1
1788167887997,watch2,76.0,74.66666666666667,1.3333333333333286,watch1
1788167887997,watch3,80.0,76.25,3.75,watch1
1788167887997,watch4,77.0,79.83333333333333,-2.8333333333333286,watch1
1788167889019,watch1,79.0,75.36363636363636,3.6363636363636402,watch1
1788167889019,watch2,76.0,74.66666666666667,1.3333333333333286,watch1
1788167889019,watch3,80.0,76.25,3.75,watch1
1788167889019,watch4,77.0,79.83333333333333,-2.8333333333333286,watch1
1788167890038,watch1,79.0,75.36363636363636,3.6363636363636402,watch1
1788167890038,watch2,76.0,74.66666666666667,1.3333333333333286,watch1
1788167890038,watch3,80.0,76.25,3.75,watch1
1788167890038,watch4,77.0,79.83333333333333,-2.8333333333333286,watch1
1788167891055,watch1,79.0,75.36363636363636,3.6363636363636402,watch1
1788167891055,watch2,76.0,74.66666666666667,1.3333333333333286,watch1
1788167891055,watch3,80.0,76.25,3.75,watch1
1788167891055,watch4,77.0,79.83333333333333,-2.8333333333333286,watch1
1788167892057,watch1,79.0,75.36363636363636,3.6363636363636402,watch1
1788167892057,watch2,76.0,74.66666666666667,1.3333333333333286,watch1
1788167892057,watch3,80.0,76.25,3.75,watch1
1788167892057,watch4,79.0,79.83333333333333,-0.8333333333333286,watch1
1788167893080,watch1,79.0,75.36363636363636,3.6363636363636402,watch1
1788167893080,watch2,76.0,74.66666666666667,1.3333333333333286,watch1
1788167893080,watch3,80.0,76.25,3.75,watch1
1788167893080,watch4,79.0,79.83333333333333,-0.8333333333333286,watch1
1788167894082,watch1,79.0,75.36363636363636,3.6363636363636402,watch1
1788167894082,watch2,76.0,74.66666666666667,1.3333333333333286,watch1
1788167894082,watch3,80.0,76.25,3.75,watch1
1788167894082,watch4,82.0,79.83333333333333,2.1666666666666714,watch1
1788167895103,watch1,79.0,75.36363636363636,3.6363636363636402,watch1
1788167895103,watch2,76.0,74.66666666666667,1.3333333333333286,watch1
1788167895103,watch3,80.0,76.25,3.75,watch1
1788167895103,watch4,82.0,79.83333333333333,2.1666666666666714,watch1
