timestamp,device_id,heartbeat,baseline,diff,abs_diff,game_phase,current_turn,control_mode,random_extreme,target_watch,is_target,rpm,direction,source_timestamp,collapse,attackers,attack_count,attack_mode,challenge_direction,score,score_change,score_reason,series_id,game_number
1786956166783,watch1,69,69,0,0,playing,watch1,self_fast,,watch1,True,10,c,1786956159228,,,0,,,0,,,20260817_174246,1
1786956167895,watch1,69,69,0,0,playing,watch1,self_fast,,watch1,True,10,c,1786956167240,,,0,,,0,,,20260817_174246,1
1786956168975,watch1,69,69,0,0,playing,watch1,self_fast,,watch1,True,10,a,1786956168255,,,0,,,0,,,20260817_174246,1
1786956170039,watch1,69,69,0,0,playing,watch1,self_fast,,watch1,True,10,a,1786956169265,,,0,,,0,,,20260817_174246,1
1786956171107,watch1,69,69,0,0,playing,watch1,self_fast,,watch1,True,10,a,1786956170282,,,0,,,0,,,20260817_174246,1
1786956172186,watch1,69,69,0,0,playing,watch1,self_fast,,watch1,True,10,a,1786956171290,,,0,,,0,,,20260817_174246,1
1786956173293,watch1,69,69,0,0,playing,watch1,self_fast,,watch1,True,10,a,1786956172300,,,0,,,0,,,20260817_174246,1
1786956174368,watch1,69,69,0,0,playing,watch1,self_fast,,watch1,True,10,c,1786956174322,,,0,,,0,,,20260817_174246,1
1786956175431,watch1,69,69,0,0,playing,watch1,self_fast,,watch1,True,10,c,1786956175332,,,0,,,0,,,20260817_174246,1
1786956176226,watch1,70,69,1,1,playing,watch1,self_fast,,watch1,True,10,c,1786956176226,,,0,,,0,,,,
1786956176493,watch1,70,69,1,1,playing,watch1,self_fast,,watch1,True,10,c,1786956176226,,,0,,,0,,,20260817_174246,1
1786956177572,watch1,70,69,1,1,playing,watch1,self_fast,,watch1,True,10,c,1786956177346,,,0,,,0,,,20260817_174246,1
1786956178679,watch1,70,69,1,1,playing,watch1,self_fast,,watch1,True,10,c,1786956178361,,,0,,,0,,,20260817_174246,1
1786956179797,watch1,70,69,1,1,playing,watch1,self_fast,,watch1,True,10,a,1786956179375,,,0,,,0,,,20260817_174246,1
1786956180250,watch1,71,69,2,2,playing,watch1,self_fast,,watch1,True,10,a,1786956180250,,,0,,,0,,,,
1786956180916,watch1,71,69,2,2,playing,watch1,self_fast,,watch1,True,10,a,1786956180250,,,0,,,0,,,20260817_174246,1
1786956182030,watch1,71,69,2,2,playing,watch1,self_fast,,watch1,True,10,a,1786956181389,,,0,,,0,,,20260817_174246,1
1786956183103,watch1,71,69,2,2,playing,watch1,self_fast,,watch1,True,10,a,1786956182458,,,0,,,0,,,20260817_174246,1
1786956184177,watch1,71,69,2,2,playing,watch1,self_fast,,watch1,True,10,a,1786956183465,,,0,,,0,,,20260817_174246,1
1786956185238,watch1,71,69,2,2,playing,watch1,self_fast,,watch1,True,10,c,1786956184477,,,0,,,0,,,20260817_174246,1
1786956186329,watch1,71,69,2,2,playing,watch1,self_fast,,watch1,True,10,c,1786956185489,,,0,,,0,,,20260817_174246,1
1786956187251,watch1,73,69,4,4,playing,watch1,self_fast,,watch1,True,10,c,1786956187251,,,0,,,0,,,,
1786956187425,watch1,73,69,4,4,playing,watch1,self_fast,,watch1,True,20,c,1786956187251,,,0,,,0,,,20260817_174246,1
